name	uses	class	broad-candidate	operator-entry-point
enumallarmies	11	native-host-call	yes	0x004fc620
enumallartifacts	6	native-host-call	yes	0x0042a450
enumallplayeractivearmies	1	native-host-call	yes	0x004fce30
enumallplayerarmies	62	native-host-call	yes	0x004fcca0
enumallseenarmies	7	native-host-call	yes	0x004fc860
enumarmies	7	native-host-call	yes	0x004fc510
enumarmiesinbarter	1	native-host-call	yes	0x00436530
enumarmiesingroup	18	native-host-call	yes	0x00499020
enumarmiesinradius	9	native-host-call	yes	0x00463500
enumarmiesnotuseinplay	2	native-host-call	yes	0x004638d0
enumartifactsinbarter	17	native-host-call	yes	0x00436350
enumartifactswon	2	native-host-call	yes	0x0042a050
enumbuildbuilding	6	native-host-call	yes	0x00444d80
enumbuildings	12	native-host-call	yes	0x004fd060
enumbuildingsinbarter	15	native-host-call	yes	0x00436800
enumchildbuildings	13	native-host-call	yes	0x004528d0
enumchildren	4	native-host-call	yes	0x00446410
enumcities	34	native-host-call	yes	0x004fc400
enumcitiesinbarter	15	native-host-call	yes	0x00436710
enumcitymods	14	native-host-call	yes	0x004537a0
enumconetargetarmies	2	native-host-call	yes	0x0040a440
enumconetargetlocations	2	native-host-call	yes	0x0040a6a0
enumed_army	2	script-definition	no	-
enumfiles	3	native-host-call	yes	0x00530d60
enumhistoricevents	2	native-host-call	yes	0x004bcfc0
enumitemsinbarter	4	native-host-call	yes	0x00436260
enummatchingchampionbrains	17	native-host-call	yes	0x00410760
enummedarmy	15	script-definition	no	-
enummemorystatistics	2	native-host-call	yes	0x004d77e0
enummilitaryunits	1	native-host-call	yes	0x00408d00
enumnetworkcomputers	3	native-host-call	yes	0x004b8870
enumnetworkgames	9	native-host-call	yes	0x004b8710
enumnetworkleaders	1	native-host-call	yes	0x004b5ef0
enumopendialogs	1	native-host-call	yes	0x00505900
enumplayerarmies	109	native-host-call	yes	0x004636f0
enumplayerbuildings	25	native-host-call	yes	0x004e0350
enumplayercities	32	native-host-call	yes	0x004e04c0
enumplayerheirs	4	native-host-call	yes	0x004c0a10
enumplayerknownspells	4	native-host-call	yes	0x004a0650
enumplayerspells	5	native-host-call	yes	0x004bf400
enumpossiblebuildings	4	native-host-call	yes	0x00452750
enumpossiblemercenaries	2	native-host-call	yes	0x00441ae0
enumpossibleresearchtopics	2	native-host-call	yes	0x00446a10
enumpossibletrainees	5	native-host-call	yes	0x00441a20
enumpossibleunits	1	native-host-call	yes	0x00441960
enumproviders	1	native-host-call	yes	0x004b8200
enumquests	4	native-host-call	yes	0x004c4740
enumrallyarmies	1	native-host-call	yes	0x00408ea0
enumrandonnumbers	2	native-host-call	yes	0x004d6ac0
enumrealplayers	33	native-host-call	yes	0x0049fbf0
enumseenarmies	5	native-host-call	yes	0x004fc720
enumseenplayerarmies	7	native-host-call	yes	0x004fc9b0
enumselectarmyactions	1	native-host-call	yes	0x004677a0
enumselectgroupactions	1	native-host-call	yes	0x004678e0
enumspellsinbarter	15	native-host-call	yes	0x00436440
enumterrainsprites	44	native-host-call	yes	0x004fd170
enumterrainspritesinbarter	15	native-host-call	yes	0x004368f0
enumunitartifacts	53	native-host-call	yes	0x0042a110
enumunitmodifiers	19	native-host-call	yes	0x00528d60
enumunits	187	native-host-call	yes	0x004e6a70
enumunitsinbarter	25	native-host-call	yes	0x00436620
enumwieldedartifacts	25	native-host-call	yes	0x0042ba50
eot_item	3	unclassified-residue	no	-
eot_number	3	unclassified-residue	no	-
eot_number_editbox	2	unclassified-residue	no	-
eoturnbuttonpage	19	script-definition	no	-
ep	2	unclassified-residue	yes	-
eplayer	1	script-definition	no	-
eq	4386	language-primitive	yes	0x004cbab0
equake	5	script-definition	no	-
equake_aura	2	unclassified-residue	no	-
equipped_num	1	script-definition	no	-
eradius	4	script-definition	no	-
erroroutput	19	native-host-call	yes	0x004cced0
esatk	1	script-definition	no	-
esatkack_1	1	script-definition	no	-
escape_reaction_dict	1	script-definition	no	-
escort_id	5	script-definition	no	-
esdie	1	script-definition	no	-
esmov	1	script-definition	no	-
esmovack_1	1	script-definition	no	-
esp03	5	engine-dictionary-key	no	-
esrng	1	script-definition	no	-
esselack_1	1	script-definition	no	-
estack	5	script-definition	no	-
eta	85	script-definition	no	-
etatk	1	script-definition	no	-
etatkack_1	3	script-definition	no	-
etatkack_2	1	script-definition	no	-
etdie	1	script-definition	no	-
eternal_flame	6	script-definition	no	-
ether_gauze	4	script-definition	no	-
etmov	2	script-definition	no	-
etmovack_1	3	script-definition	no	-
etmovack_2	1	script-definition	no	-
etrng	1	script-definition	no	-
etselack_1	3	script-definition	no	-
etselack_2	1	script-definition	no	-
eval	16	script-definition	no	-
eval_spell_id	1	script-definition	no	-
event	2	unclassified-residue	no	-
event_id	2	unclassified-residue	no	-
