name	entry_point	behaviour	boundary	instructions	decoded_extent_bytes	arity	arity_candidates	nominal_arity	declared_arity	arity_agrees	loop_carried_operands	operand_state_cap_hit	helper_pops	helper_pushes	inline_pops	inline_pushes	calls	call_targets	tail_calls	indirect_calls	virtual_call_slots	globals_read	constant_refs	globals_written	pointer_write_addresses	global_addresses	constant_addresses	string_refs	import_kinds_at_depth	state_write_depth	calls_mutating_method	direct_imports
connectedbywater	0x004e6380	reads-state	complete	134	403	-	0,1,2	2	2	yes	no	no	0	0	2	1	4	0x4026a0,0x404ab0,0x4c6660,0x4d4550	0	0	-	4	0	0	-	0x5aef04,0x5aef04,0x5aef10,0x5af0bc	-	0	file-io@5,archive@2,memory@6,thread@1,window-input@3,time@3,other@3	3	yes	-
connecttosigs	0x004b5fb0	file-or-resource-io	complete	25	88	0	0	0	0	yes	no	no	0	0	0	1	2	0x4b6200,0x4d4550	0	0	-	1	0	0	-	0x5cd358	-	0	file-io@5,archive@1,memory@6,thread@3,window-input@1,time@2,other@2	2	yes	-
connecttostorm	0x004b5f50	file-or-resource-io	complete	25	88	0	0	0	0	yes	no	no	0	0	0	1	2	0x4b6200,0x4d4550	0	0	-	1	0	0	-	0x5cd358	-	0	file-io@5,archive@1,memory@6,thread@3,window-input@1,time@2,other@2	2	yes	-
container	0x0046d4c0	file-or-resource-io	complete	399	1372	-	1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16	-	4	yes	yes	yes	14	1	2	0	10	0x4026a0,0x404ab0,0x40adb0,0x41d1d0,0x43da90,0x492270,0x4d41c0,0x539630,0x539eb0,0x539ff0	0	0	-	1	1	0	-	0x5a7b50	0x55793c	1	file-io@6,archive@1,memory@5,thread@4,window-input@2,time@2,other@2	2	yes	-
controlleroffaith	0x004c0230	reads-state	complete	61	198	-	0,1	1	1	yes	no	no	0	0	1	1	3	0x4c0300,0x4d4550,0x5394a0	0	0	-	1	0	0	-	0x5aa12c	-	0	file-io@5,archive@5,memory@6,thread@4,window-input@3,time@3,other@3	3	yes	-
controlsfaith?	0x004c0140	unknown	complete	77	230	-	0,1,2	2	2	yes	no	no	1	0	1	1	4	0x4bdce0,0x4c0110,0x4d4550,0x5394a0	0	0	-	0	0	0	-	-	-	0	file-io@5,archive@5,memory@6,thread@4,window-input@3,time@3,other@3	3	no	-
copy	0x004cbf80	file-or-resource-io	complete	300	14772	-	0,1,2	2	1	NO	no	no	0	0	3	3	4	0x404ab0,0x4cee20,0x4d3110,0x4d4550	0	0	-	0	0	0	-	-	-	0	file-io@5,archive@1,memory@6,thread@4,window-input@3,time@3,other@3	3	no	-
copydoodad	0x004dc8d0	reads-state	complete	205	592	-	0,1,2,3,4	4	4	yes	no	no	0	0	4	0	8	0x4026a0,0x404ab0,0x491ec0,0x492760,0x495a40,0x495db0,0x4d41c0,0x4d4550	0	0	-	1	3	0	-	0x5a7b50	0x57281c,0x57282c,0x572840	3	file-io@5,archive@4,memory@5,thread@4,window-input@2,time@2,other@2	1	yes	-
cos	0x004cc0b0	floating-point	complete	66	7743	-	0,1	1	1	yes	no	no	0	0	1	1	1	0x4d4550	0	0	-	0	1	0	-	-	0x54dd18	0	file-io@5,archive@5,memory@6,thread@4,window-input@3,time@3,other@3	3	no	-
cost2castspell	0x00426130	unknown	complete	104	339	-	0,1,2	2	2	yes	no	no	1	0	1	1	5	0x404ab0,0x41bf10,0x41cf40,0x4d4550,0x5394a0	0	0	-	0	0	0	-	-	-	0	file-io@5,archive@5,memory@6,thread@4,window-input@3,time@3,other@3	3	no	-
